,word,kanji,reading,overall_rank,rank_english,rank_japanese
0,you,あなた,あなた,1,15,901
1,you,君,きみ,2,15,3719
2,new,新しい,あたらしい,3,27,205
3,more,もっと,もっと,4,28,150
4,we,私たち,わたしたち,5,31,504
5,we,我々,われわれ,6,31,5439
6,page,ページ,ページ,7,38,686
7,free,ただ,ただ,8,42,471
8,one,一,いち,9,45,3
9,other,他,ほか,10,46,168
10,do,やる,やる,11,47,50
11,information,情報,じょうほう,12,49,752
12,time,時,とき,13,50,29
13,they,彼ら,かれら,14,51,1140
14,which,どちら,どちら,15,57,230
15,news,ニュース,ニュース,16,59,581
16,use,使う,つかう,17,61,192
17,there,そこ,そこ,18,63,160
18,when,いつ,いつ,19,68,220
19,when,いつのまに,いつのまに,20,68,3693
20,here,ここ,ここ,21,70,170
21,here,こっち,こっち,22,70,360
22,business,事業,じぎょう,23,71,2440
23,business,ビジネス,ビジネス,24,71,4100
24,who,どなた,どなた,25,72,1546
25,now,今,いま,26,75,64
26,first,先ず,まず,27,83,419
27,these,これら,これら,28,93,476
28,find,見つける,みつける,29,100,151
29,price,値段,ねだん,30,101,730
30,date,デート,デート,31,102,1256
31,date,月日,がっぴ,32,102,2002
32,date,年月日,ねんがっぴ,33,102,4015
33,date,日付け,ひづけ,34,102,5304
34,back,背中,せなか,35,103,3484
35,back,バック,バック,36,103,4792
36,top,トップ,トップ,37,104,4069
37,people,人々,ひとびと,38,105,459
38,people,方々,かたがた,39,105,2035
39,name,名前,なまえ,40,108,218
40,name,名称,めいしょう,41,108,5860
41,state,州,しゅう,42,111,3200
42,day,日,にち,43,113,32
43,two,二,に,44,116,4
44,health,健康,けんこう,45,117,3489
45,world,世界,せかい,46,119,674
46,next,次,つぎ,47,121,259
47,go,行く,いく,48,123,71
48,work,働く,はたらく,49,125,262
49,most,一番,いちばん,50,127,216
50,music,音楽,おんがく,51,129,1063
51,music,ミュージック,ミュージック,52,129,5460
52,buy,買う,かう,53,130,147
53,data,データ,データ,54,131,4006
54,system,システム,システム,55,136,411
55,city,都市,とし,56,139,792
56,city,市,し,57,139,2303
57,add,付け加える,つけくわえる,58,141,5297
58,number,数,かず,59,143,245
59,number,ナンバー,ナンバー,60,143,4899
60,please,どうぞ,どうぞ,61,145,1476
61,after,後,あと,62,150,134
62,best,最上,さいじょう,63,151,2110
63,best,ベスト,ベスト,64,151,4880
64,good,良い,いい,65,155,207
65,video,ビデオ,ビデオ,66,156,591
66,well,よく,よく,67,157,451
67,well,まあ,まあ,68,157,4962
68,where,どこ,どこ,69,159,100
69,public,公立,こうりつ,70,162,2848
70,books,書物,しょもつ,71,163,2316
71,books,図書,としょ,72,163,4225
72,school,学校,がっこう,73,165,235
73,review,復習,ふくしゅう,74,171,1495
74,order,順序,じゅんじょ,75,173,3287
75,very,とても,とても,76,174,190
76,read,読む,よむ,77,180,156
