,word,kanji,reading,overall_rank,rank_english,rank_japanese,count_english,word_type_japanese
0,you,あなた,あなた,1,15,104,2996181025,pronoun
1,you,君,きみ,2,15,1834,2996181025,noun
2,new,新しい,あたらしい,3,27,638,1551258643,adjective
3,more,もっと,もっと,4,28,85,1544771673,adverb
4,we,私たち,わたしたち,5,31,262,1390661912,pronoun
5,we,我々,われわれ,6,31,5012,1390661912,noun
6,page,ページ,ぺーじ,7,38,851,1082121730,noun
7,search,検索,けんさく,8,41,4428,1024093118,verbal noun
8,free,ただ,ただ,9,42,310,1014107316,noun
9,one,一,いち,10,45,2,993536631,noun
10,information,情報,じょうほう,11,49,634,932594387,noun
11,time,頃,ころ,12,50,1901,908705570,noun
12,time,時刻,じこく,13,50,4823,908705570,noun
13,time,歳月,さいげつ,14,50,6008,908705570,
14,time,タイム,たいむ,15,50,6396,908705570,
15,they,彼ら,かれら,16,51,1136,883223816,pronoun
16,what,何,なに,17,56,93,812395582,interrogative
17,which,どちら,どちら,18,57,134,810514085,interrogative
18,which,どっち,どっち,19,57,394,810514085,interrogative
19,news,ニュース,にゅーす,20,59,778,755424983,noun
20,use,使う,つかう,21,61,1088,719980257,verb
21,there,そこ,そこ,22,63,92,701170205,pronoun
22,there,そっち,そっち,23,63,395,701170205,pronoun
23,when,いつ,いつ,24,68,13,650621178,interrogative
24,when,いつの間に,いつのまに,25,68,2265,650621178,adverb
25,here,ここ,ここ,26,70,158,639711198,pronoun
26,here,こっち,こっち,27,70,219,639711198,pronoun
27,business,ビジネス,びじねす,28,71,2498,637134177,noun
28,who,どなた,どなた,29,72,597,630927278,interrogative
29,who,誰,だれ,30,72,1622,630927278,interrogative
30,now,今,いま,31,75,109,611387736,adverb
31,how,いかが,いかが,32,87,1525,571848080,adverb
32,these,これら,これら,33,93,314,541003982,pronoun
33,find,見つける,みつける,34,100,391,502043038,verb
34,find,拾得,しゅうとく,35,100,8244,502043038,
35,price,値段,ねだん,36,101,603,501651226,noun
36,date,デート,でーと,37,102,1361,488967374,verbal noun
37,date,日にち,ひにち,38,102,2004,488967374,noun
38,date,年月日,ねんがっぴ,39,102,2019,488967374,noun
39,date,日付け,ひづけ,40,102,4742,488967374,noun
40,top,独楽,こま,41,104,8071,484213771,
41,people,人々,ひとびと,42,105,184,480303376,noun
42,list,リスト,りすと,43,107,6241,472590641,
43,name,名前,なまえ,44,108,686,464532702,noun
44,two,二,に,45,116,5,441398439,noun
45,world,世界,せかい,46,119,534,431934249,noun
46,next,次,つぎ,47,121,940,425903347,noun
47,go,行く,いく,48,123,120,421086358,verb
48,go,碁,ご,49,123,9229,421086358,
49,work,働く,はたらく,50,125,961,419483948,verb
50,music,音楽,おんがく,51,129,1007,414028837,noun
51,music,ミュージック,みゅーじっく,52,129,2645,414028837,noun
52,buy,買う,かう,53,130,698,410780176,verb
53,data,データ,でーた,54,131,2497,406908328,noun
54,product,製品,せいひん,55,135,3110,399116355,noun
55,system,システム,しすてむ,56,136,267,396975018,noun
56,system,制度,せいど,57,136,2935,396975018,noun
57,number,数字,すうじ,58,143,801,383787805,noun
58,number,数,かず,59,143,803,383787805,noun
59,number,番号,ばんごう,60,143,1157,383787805,noun
60,number,ナンバー,なんばー,61,143,4339,383787805,noun
61,please,どうぞ,どうぞ,62,145,58,380046348,adverb
62,please,どうか,どうか,63,145,4237,380046348,adverb
63,please,何卒,なにとぞ,64,145,6021,380046348,
64,support,支持,しじ,65,148,3179,373512569,verbal noun
65,message,伝言,でんごん,66,149,1730,373081242,verbal noun
66,message,メッセージ,めっせーじ,67,149,6252,373081242,
67,after,あと,あと,68,150,33,372948094,noun
68,best,ベスト,べすと,69,151,2578,371852748,noun
69,good,良好,りょうこう,70,155,6352,365796396,
70,good,良,りょう,71,155,6353,365796396,
71,video,ビデオ,びでお,72,156,793,365410017,noun
72,well,井戸,いど,73,157,8766,362082755,
73,where,どこ,どこ,74,159,80,360468339,interrogative
74,public,公立,こうりつ,75,162,3942,349286123,noun
75,public,公衆,こうしゅう,76,162,5867,349286123,noun
76,books,図書,としょ,77,163,2448,347710184,noun
77,school,学校,がっこう,78,165,769,343057316,noun
78,school,スクール,すくーる,79,165,6456,343057316,
79,each,各々,おのおの,80,168,6412,340892856,
80,review,復習,ふくしゅう,81,171,1488,339067778,verbal noun
81,order,注文,ちゅうもん,82,173,1222,336631187,verbal noun
82,order,順序,じゅんじょ,83,173,4787,336631187,noun
83,very,とても,とても,84,174,98,334923368,adverb
84,book,書物,しょもつ,85,176,2786,330959949,noun
85,read,読む,よむ,86,180,403,322331766,verb
86,group,グループ,ぐるーぷ,87,181,549,321842984,noun
87,sex,セックス,せっくす,88,182,6843,320105999,
88,set,セット,せっと,89,189,3826,313469591,verbal noun
89,full,いっぱい,いっぱい,90,196,239,309929179,adverb
90,life,生命,せいめい,91,200,4181,306559205,noun
91,life,命,いのち,92,200,4184,306559205,noun
92,know,知る,しる,93,201,661,306100813,verb
93,part,一部,いちぶ,94,207,520,302729303,noun
94,hotel,ホテル,ほてる,95,211,606,297974790,noun
95,international,国際,こくさい,96,215,1251,295639201,noun
96,international,国際的,こくさいてき,97,215,3954,295639201,adjectival noun
97,development,開発,かいはつ,98,223,991,286291411,verbal noun
98,report,報告,ほうこく,99,224,635,286237372,verbal noun
99,member,一員,いちいん,100,226,2376,283858893,noun
100,member,会員,かいいん,101,226,2377,283858893,noun
101,member,メンバー,めんばー,102,226,3740,283858893,noun
102,line,線,せん,103,228,1058,280009597,noun
103,send,送る,おくる,104,233,724,274103587,verb
104,right,右,みぎ,105,234,171,273620358,noun
105,type,タイプ,たいぷ,106,235,3753,272336859,noun
106,type,類型,るいけい,107,235,6949,272336859,
107,education,教育,きょういく,108,242,775,266738068,verbal noun
108,national,国立,こくりつ,109,243,3325,266376620,noun
109,design,デザイン,でざいん,110,245,2515,264448339,verbal noun
110,take,持って行く,もっていく,111,246,736,264349801,verb
111,address,住所,じゅうしょ,112,249,682,261872866,noun
112,shipping,出荷,しゅっか,113,257,2114,256521328,verbal noun
113,long,長い,ながい,114,264,505,252519588,adjective
114,show,見せる,みせる,115,268,390,247541986,verb
115,black,黒,くろ,116,271,540,244690155,noun
116,check,小切手,こぎって,117,272,6694,244491090,
