,word,overall_rank,rank_english,rank_japanese,kanji,hiragana,count_english,word_type_japanese
0,you,1,15,901,あなた,あなた,2996181025,Noun
1,you,2,15,3719,君,きみ,2996181025,Noun
2,new,3,27,205,新しい,あたらしい,1551258643,Adjective
3,more,4,28,150,もっと,もっと,1544771673,Adverb
4,we,5,31,504,私たち,わたしたち,1390661912,Noun
5,we,6,31,5439,我々,われわれ,1390661912,Noun
6,page,7,38,686,ページ,ページ,1082121730,Noun
7,free,8,42,471,ただ,ただ,1014107316,Noun
8,one,9,45,3,一,いち,993536631,Noun
9,other,10,46,168,他,ほか,978481319,Noun
10,do,11,47,50,やる,やる,950751722,Verb
11,information,12,49,752,情報,じょうほう,932594387,Noun
12,time,13,50,29,時,とき,908705570,Noun
13,they,14,51,1140,彼ら,かれら,883223816,Noun
14,which,15,57,230,どちら,どちら,810514085,Noun
15,news,16,59,581,ニュース,ニュース,755424983,Noun
16,use,17,61,192,使う,つかう,719980257,Verb
17,there,18,63,160,そこ,そこ,701170205,Pronoun
18,when,19,68,220,いつ,いつ,650621178,Noun
19,when,20,68,3693,いつのまに,いつのまに,650621178,Adverb
20,here,21,70,170,ここ,ここ,639711198,Pronoun
21,here,22,70,360,こっち,こっち,639711198,Pronoun
22,business,23,71,2440,事業,じぎょう,637134177,Noun
23,business,24,71,4100,ビジネス,ビジネス,637134177,Noun
24,who,25,72,1546,どなた,どなた,630927278,Noun
25,now,26,75,64,今,いま,611387736,Adverb
26,first,27,83,419,先ず,まず,578161543,Adverb
27,these,28,93,476,これら,これら,541003982,Noun
28,find,29,100,151,見つける,みつける,502043038,Verb
29,price,30,101,730,値段,ねだん,501651226,Noun
30,date,31,102,1256,デート,デート,488967374,Verbal Noun
31,date,32,102,2002,月日,がっぴ,488967374,Noun
32,date,33,102,4015,年月日,ねんがっぴ,488967374,Noun
33,date,34,102,5304,日付け,ひづけ,488967374,Noun
34,back,35,103,3484,背中,せなか,488024109,Noun
35,back,36,103,4792,バック,バック,488024109,Verbal Noun
36,top,37,104,4069,トップ,トップ,484213771,Noun
37,people,38,105,459,人々,ひとびと,480303376,Noun
38,people,39,105,2035,方々,かたがた,480303376,Noun
39,name,40,108,218,名前,なまえ,464532702,Noun
40,name,41,108,5860,名称,めいしょう,464532702,Noun
41,state,42,111,3200,州,しゅう,453104133,Noun
42,day,43,113,32,日,にち,446236148,Noun
43,two,44,116,4,二,に,441398439,Noun
44,health,45,117,3489,健康,けんこう,440416431,Noun
45,world,46,119,674,世界,せかい,431934249,Noun
46,next,47,121,259,次,つぎ,425903347,Noun
47,go,48,123,71,行く,いく,421086358,Verb
48,work,49,125,262,働く,はたらく,419483948,Verb
49,most,50,127,216,一番,いちばん,416210411,Adverb
50,music,51,129,1063,音楽,おんがく,414028837,Noun
51,music,52,129,5460,ミュージック,ミュージック,414028837,Noun
52,buy,53,130,147,買う,かう,410780176,Verb
53,data,54,131,4006,データ,データ,406908328,Noun
54,system,55,136,411,システム,システム,396975018,Noun
55,city,56,139,792,都市,とし,390564835,Noun
56,city,57,139,2303,市,し,390564835,Noun
57,add,58,141,5297,付け加える,つけくわえる,387231739,Verb
58,number,59,143,245,数,かず,383787805,Noun
59,number,60,143,4899,ナンバー,ナンバー,383787805,Noun
60,please,61,145,1476,どうぞ,どうぞ,380046348,Adverb
61,after,62,150,134,後,あと,372948094,Adverb
62,best,63,151,2110,最上,さいじょう,371852748,Noun
63,best,64,151,4880,ベスト,ベスト,371852748,Noun
64,good,65,155,207,良い,いい,365796396,Adjective
65,video,66,156,591,ビデオ,ビデオ,365410017,Noun
66,well,67,157,451,よく,よく,362082755,Adverb
67,well,68,157,4962,まあ,まあ,362082755,Interjection
68,where,69,159,100,どこ,どこ,360468339,Noun
69,public,70,162,2848,公立,こうりつ,349286123,Noun
70,books,71,163,2316,書物,しょもつ,347710184,Noun
71,books,72,163,4225,図書,としょ,347710184,Noun
72,school,73,165,235,学校,がっこう,343057316,Noun
73,review,74,171,1495,復習,ふくしゅう,339067778,Verbal Noun
74,order,75,173,3287,順序,じゅんじょ,336631187,Noun
75,very,76,174,190,とても,とても,334923368,Adverb
76,read,77,180,156,読む,よむ,322331766,Verb
77,group,78,181,506,グループ,グループ,321842984,Noun
78,set,79,189,2116,セット,セット,313469591,Verbal Noun
79,full,80,196,321,一杯,いっぱい,309929179,Adverb
80,program,81,199,446,プログラム,プログラム,306686983,Noun
81,life,82,200,2963,生命,せいめい,306559205,Noun
82,life,83,200,2964,命,いのち,306559205,Noun
83,know,84,201,215,知る,しる,306100813,Verb
84,know,85,201,2793,ご存じ,ごぞんじ,306100813,Noun
85,hotel,86,211,511,ホテル,ホテル,297974790,Noun
86,international,87,215,1245,国際,こくさい,295639201,Noun
87,international,88,215,2851,国際的,こくさいてき,295639201,Adjective
88,center,89,216,5536,センター,センター,294319118,Noun
89,center,90,216,5919,中央,ちゅうおう,294319118,Noun
90,development,91,223,1043,開発,かいはつ,286291411,Verbal Noun
91,report,92,224,753,報告,ほうこく,286237372,Verbal Noun
92,member,93,226,2142,会員,かいいん,283858893,Noun
93,member,94,226,2143,一員,いちいん,283858893,Noun
94,member,95,226,4132,メンバー,メンバー,283858893,Noun
95,line,96,228,283,線,せん,280009597,Noun
96,send,97,233,224,送る,おくる,274103587,Verb
